ticker,symbol_yf,sector,board
AALI,AALI.JK,,
ABBA,ABBA.JK,,
ABDA,ABDA.JK,,
ABMM,ABMM.JK,,
ACES,ACES.JK,,
ACST,ACST.JK,,
ADES,ADES.JK,,
ADHI,ADHI.JK,,
ADMF,ADMF.JK,,
ADMG,ADMG.JK,,
ADRO,ADRO.JK,,
AGII,AGII.JK,,
AGRO,AGRO.JK,,
AGRS,AGRS.JK,,
AHAP,AHAP.JK,,
AIMS,AIMS.JK,,
AISA,AISA.JK,,
AKKU,AKKU.JK,,
AKPI,AKPI.JK,,
AKRA,AKRA.JK,,
AKSI,AKSI.JK,,
ALDO,ALDO.JK,,
ALKA,ALKA.JK,,
ALMI,ALMI.JK,,
ALTO,ALTO.JK,,
AMAG,AMAG.JK,,
AMFG,AMFG.JK,,
AMIN,AMIN.JK,,
AMRT,AMRT.JK,,
ANDI,ANDI.JK,,
ANJT,ANJT.JK,,
ANTM,ANTM.JK,,
APEX,APEX.JK,,
APIC,APIC.JK,,
APII,APII.JK,,
APLI,APLI.JK,,
APLN,APLN.JK,,
ARGO,ARGO.JK,,
ARII,ARII.JK,,
ARNA,ARNA.JK,,
ARTA,ARTA.JK,,
ARTI,ARTI.JK,,
ARTO,ARTO.JK,,
ASBI,ASBI.JK,,
ASDM,ASDM.JK,,
ASGR,ASGR.JK,,
ASII,ASII.JK,,
ASJT,ASJT.JK,,
ASMI,ASMI.JK,,
ASPR,ASPR.JK,Industrials?,Development
ATAP,ATAP.JK,,
BAJA,BAJA.JK,,
BALI,BALI.JK,,
BANK,BANK.JK,,
BAPA,BAPA.JK,,
BATA,BATA.JK,,
BAYU,BAYU.JK,,
BBCA,BBCA.JK,,
BBHI,BBHI.JK,,
BBKP,BBKP.JK,,
BBLD,BBLD.JK,,
BBMD,BBMD.JK,,
BBNI,BBNI.JK,,
BBRI,BBRI.JK,,
BBRM,BBRM.JK,,
BBTN,BBTN.JK,,
BBYB,BBYB.JK,,
BCAP,BCAP.JK,,
BCIC,BCIC.JK,,
BCIP,BCIP.JK,,
BDMN,BDMN.JK,,
BEKS,BEKS.JK,,
BEST,BEST.JK,,
BFIN,BFIN.JK,,
BGTG,BGTG.JK,,
BHIT,BHIT.JK,,
BIKA,BIKA.JK,,
BIMA,BIMA.JK,,
BINA,BINA.JK,,
BIPI,BIPI.JK,,
BIPP,BIPP.JK,,
BIRD,BIRD.JK,,
BISI,BISI.JK,,
BJBR,BJBR.JK,,
BJTM,BJTM.JK,,
BKDP,BKDP.JK,,
BKSL,BKSL.JK,,
BKSW,BKSW.JK,,
BLTA,BLTA.JK,,
BLTZ,BLTZ.JK,,
BMAS,BMAS.JK,,
BMRI,BMRI.JK,,
BMSR,BMSR.JK,,
BMTR,BMTR.JK,,
BNBA,BNBA.JK,,
BNBR,BNBR.JK,,
BNGA,BNGA.JK,,
BNII,BNII.JK,,
BNLI,BNLI.JK,,
BOLT,BOLT.JK,,
BPFI,BPFI.JK,,
BPII,BPII.JK,,
BPTR,BPTR.JK,,
BRAM,BRAM.JK,,
BRMS,BRMS.JK,,
BRNA,BRNA.JK,,
BRPT,BRPT.JK,,
BSDE,BSDE.JK,,
BSIM,BSIM.JK,,
BUKK,BUKK.JK,,
BULL,BULL.JK,,
BUMI,BUMI.JK,,
BUVA,BUVA.JK,,
BVIC,BVIC.JK,,
BWPT,BWPT.JK,,
BYAN,BYAN.JK,,
CANI,CANI.JK,,
CASS,CASS.JK,,
CEKA,CEKA.JK,,
CENT,CENT.JK,,
CFIN,CFIN.JK,,
CHEK,CHEK.JK,Healthcare,Development
CINT,CINT.JK,,
CITA,CITA.JK,,
CLPI,CLPI.JK,,
CMNP,CMNP.JK,,
CMPP,CMPP.JK,,
CNKO,CNKO.JK,,
CNTX,CNTX.JK,,
COIN,COIN.JK,Financials/Technology?,Development
COWL,COWL.JK,,
CPIN,CPIN.JK,,
CPRO,CPRO.JK,,
CSAP,CSAP.JK,,
CTBN,CTBN.JK,,
CTRA,CTRA.JK,,
CTTH,CTTH.JK,,
DART,DART.JK,,
DCII,DCII.JK,,
DEFI,DEFI.JK,,
DEWA,DEWA.JK,,
DGIK,DGIK.JK,,
DGNS,DGNS.JK,,
DILD,DILD.JK,,
DKFT,DKFT.JK,,
DLTA,DLTA.JK,,
DMAS,DMAS.JK,,
DNAR,DNAR.JK,,
DNET,DNET.JK,,
DOID,DOID.JK,,
DPNS,DPNS.JK,,
DSFI,DSFI.JK,,
DSNG,DSNG.JK,,
DSSA,DSSA.JK,,
DUTI,DUTI.JK,,
DVLA,DVLA.JK,,
DYAN,DYAN.JK,,
ECII,ECII.JK,,
EDGE,EDGE.JK,,
EKAD,EKAD.JK,,
ELSA,ELSA.JK,,
ELTY,ELTY.JK,,
EMDE,EMDE.JK,,
EMTK,EMTK.JK,,
ENRG,ENRG.JK,,
ENZO,ENZO.JK,,
EPMT,EPMT.JK,,
ERAA,ERAA.JK,,
ERTX,ERTX.JK,,
ESSA,ESSA.JK,,
ESTI,ESTI.JK,,
ETWA,ETWA.JK,,
EXCL,EXCL.JK,,
FAPA,FAPA.JK,,
FAST,FAST.JK,,
FASW,FASW.JK,,
FILM,FILM.JK,,
FISH,FISH.JK,,
FMII,FMII.JK,,
FORE,FORE.JK,Consumer Cyclicals,Development
FORU,FORU.JK,,
FPNI,FPNI.JK,,
FREN,FREN.JK,,
GAMA,GAMA.JK,,
GDST,GDST.JK,,
GDYR,GDYR.JK,,
GEMA,GEMA.JK,,
GEMS,GEMS.JK,,
GGRM,GGRM.JK,,
GIAA,GIAA.JK,,
GJTL,GJTL.JK,,
GLOB,GLOB.JK,,
GMTD,GMTD.JK,,
GOLD,GOLD.JK,,
GOLL,GOLL.JK,,
GOTO,GOTO.JK,,
GPRA,GPRA.JK,,
GSMF,GSMF.JK,,
GTBO,GTBO.JK,,
GWSA,GWSA.JK,,
GZCO,GZCO.JK,,
HADE,HADE.JK,,
HDFA,HDFA.JK,,
HDTX,HDTX.JK,,
HERO,HERO.JK,,
HEXA,HEXA.JK,,
HGII,HGII.JK,Financials?,Development
HITS,HITS.JK,,
HMSP,HMSP.JK,,
HOME,HOME.JK,,
HOTL,HOTL.JK,,
HRUM,HRUM.JK,,
IATA,IATA.JK,,
IBFN,IBFN.JK,,
IBST,IBST.JK,,
ICBP,ICBP.JK,,
ICON,ICON.JK,,
IGAR,IGAR.JK,,
IIKP,IIKP.JK,,
IKAI,IKAI.JK,,
IKBI,IKBI.JK,,
IMAS,IMAS.JK,,
INDS,INDS.JK,,
INDX,INDX.JK,,
INDY,INDY.JK,,
INKP,INKP.JK,,
INPC,INPC.JK,,
INPP,INPP.JK,,
INRU,INRU.JK,,
INTA,INTA.JK,,
INTD,INTD.JK,,
INTP,INTP.JK,,
IPCC,IPCC.JK,,
IPOL,IPOL.JK,,
ISAT,ISAT.JK,,
ISSP,ISSP.JK,,
ITMA,ITMA.JK,,
ITMG,ITMG.JK,,
JAWA,JAWA.JK,,
JECC,JECC.JK,,
JIHD,JIHD.JK,,
JKON,JKON.JK,,
JKSW,JKSW.JK,,
JPFA,JPFA.JK,,
JRPT,JRPT.JK,,
JSMR,JSMR.JK,,
JSPT,JSPT.JK,,
JTPE,JTPE.JK,,
KAEF,KAEF.JK,,
KARW,KARW.JK,,
KBLI,KBLI.JK,,
KBLM,KBLM.JK,,
KBLV,KBLV.JK,,
KBRI,KBRI.JK,,
KDSI,KDSI.JK,,
KETR,KETR.JK,,
KIAS,KIAS.JK,,
KICI,KICI.JK,,
KIJA,KIJA.JK,,
KKGI,KKGI.JK,,
KLBF,KLBF.JK,,
KOBX,KOBX.JK,,
KOIN,KOIN.JK,,
KONI,KONI.JK,,
KOPI,KOPI.JK,,
KPIG,KPIG.JK,,
KRAH,KRAH.JK,,
KRAS,KRAS.JK,,
KREN,KREN.JK,,
LAND,LAND.JK,,
LAPD,LAPD.JK,,
LCGP,LCGP.JK,,
LEAD,LEAD.JK,,
LINK,LINK.JK,,
LION,LION.JK,,
LMAS,LMAS.JK,,
LMPI,LMPI.JK,,
LMSH,LMSH.JK,,
LPCK,LPCK.JK,,
LPGI,LPGI.JK,,
LPIN,LPIN.JK,,
LPKR,LPKR.JK,,
LPLI,LPLI.JK,,
LPPF,LPPF.JK,,
LPPS,LPPS.JK,,
LRNA,LRNA.JK,,
LSIP,LSIP.JK,,
LTLS,LTLS.JK,,
MAGP,MAGP.JK,,
MAHA,MAHA.JK,,
MAIN,MAIN.JK,,
MAMI,MAMI.JK,,
MANG,MANG.JK,,
MAPA,MAPA.JK,,
MAPB,MAPB.JK,,
MAPI,MAPI.JK,,
MARK,MARK.JK,,
MASA,MASA.JK,,
MAXI,MAXI.JK,,
MAYA,MAYA.JK,,
MBAP,MBAP.JK,,
MBSS,MBSS.JK,,
MBTO,MBTO.JK,,
MCOR,MCOR.JK,,
MDIA,MDIA.JK,,
MDKA,MDKA.JK,,
MDLN,MDLN.JK,,
MDRN,MDRN.JK,,
MEDC,MEDC.JK,,
MEGA,MEGA.JK,,
MERI,MERI.JK,Healthcare?,Development
MERK,MERK.JK,,
META,META.JK,,
MFIN,MFIN.JK,,
MFMI,MFMI.JK,,
MGNA,MGNA.JK,,
MGRO,MGRO.JK,,
MINE,MINE.JK,Basic Materials,Utama/Development?
MOLI,MOLI.JK,,
NEST,NEST.JK,Consumer Non-Cyclicals?,Development
NFCX,NFCX.JK,,
NUSA,NUSA.JK,,
PLAN,PLAN.JK,,
PMMP,PMMP.JK,,
POLL,POLL.JK,,
PORT,PORT.JK,,
POWR,POWR.JK,,
PPGL,PPGL.JK,,
PPRE,PPRE.JK,,
PPRI,PPRI.JK,,
PRAY,PRAY.JK,,
PRDA,PRDA.JK,,
PRIM,PRIM.JK,,
PSAB,PSAB.JK,,
PSDN,PSDN.JK,,
PSGO,PSGO.JK,,
PSKT,PSKT.JK,,
PSSI,PSSI.JK,,
PTDU,PTDU.JK,,
RISE,RISE.JK,,
RLCO,RLCO.JK,Consumer Non-Cyclicals?,Development
ROCK,ROCK.JK,,
SICO,SICO.JK,,
SKLT,SKLT.JK,,
SKYB,SKYB.JK,,
SMAR,SMAR.JK,,
SMBR,SMBR.JK,,
SMCB,SMCB.JK,,
SMDM,SMDM.JK,,
SMDR,SMDR.JK,,
SMGR,SMGR.JK,,
SMMA,SMMA.JK,,
SMMT,SMMT.JK,,
SMRA,SMRA.JK,,
SMRU,SMRU.JK,,
SMSM,SMSM.JK,,
SUPA,SUPA.JK,Unknown,Development
TCPI,TCPI.JK,,
TLDN,TLDN.JK,,
TRON,TRON.JK,,
TRST,TRST.JK,,
TRUE,TRUE.JK,,
TRUK,TRUK.JK,,
TSPC,TSPC.JK,,
TYRE,TYRE.JK,,
UANG,UANG.JK,,
UCID,UCID.JK,,
UDNG,UDNG.JK,,
UFOE,UFOE.JK,,
ULTJ,ULTJ.JK,,
VICI,VICI.JK,,
WIFI,WIFI.JK,,
WIRG,WIRG.JK,,
WMUU,WMUU.JK,,
